popularity,original_title,runtime,vote_average,release_year,budget_adj,revenue_adj,success,tit_len,rating_cat
32.985763,Jurassic World,124.0,6.5,2015,137999939.280026,1392445892.5238,9.090192066666667,14,high
28.419936,Mad Max: Fury Road,120.0,7.1,2015,137999939.280026,348161292.489031,1.5229090266666778,7,very_high
13.112507,Insurgent,119.0,6.3,2015,101199955.47201899,271619025.407628,1.6839836454545534,9,high
11.173103999999999,Star Wars: The Force Awakens,136.0,7.5,2015,183999919.040035,1902723129.80182,9.340891125000018,9,very_high
9.335014,Furious 7,137.0,7.3,2015,174799923.08803302,1385748801.47052,6.927628210526311,9,very_high
9.1107,The Revenant,156.0,7.2,2015,124199945.352024,490314247.02173096,2.9477815037037023,12,very_high
8.654359,Terminator Genisys,125.0,5.8,2015,142599937.256027,405355075.683766,1.842603464516136,18,mediocre
7.6674,The Martian,141.0,7.6,2015,99359956.2816192,547749654.3101519,4.51278075,11,very_high
7.40416499999999,Minions,91.0,6.5,2015,68079970.0448131,1064192016.7955099,14.631499486486467,7,high
6.326804,Inside Out,94.0,8.0,2015,160999929.16003102,785411574.698907,3.878334908571433,10,very_high
6.200282,Spectre,148.0,6.2,2015,225399900.824043,810220283.783075,2.594590240816336,7,high
6.189369,Jupiter Ascending,124.0,5.2,2015,161919931.51523,169268630.681802,0.04538477195366646,17,low
6.118847,Ex Machina,108.0,7.6,2015,13799993.9280026,33919845.9552677,1.4579609333333403,10,very_high
5.984995,Pixels,105.0,5.8,2015,80959964.37761559,224146025.095748,1.7686033068181732,6,mediocre
5.944927,Avengers: Age of Ultron,141.0,7.4,2015,257599886.656049,1292632336.88177,4.0179848821428665,8,very_high
5.8984,The Hateful Eight,167.0,7.4,2015,40479982.18880779,143299244.588332,2.5400026590909035,17,very_high
5.749758,Taken 3,109.0,6.1,2015,44159980.5696085,299709578.207785,5.78690466666666,7,high
5.5731839999999995,Ant-Man,115.0,7.0,2015,119599947.376023,477113780.029936,2.989247407692307,7,very_high
5.556818,Cinderella,112.0,6.8,2015,87399961.54401691,498963025.21626794,4.7089616105263055,10,very_high
5.476958,The Hunger Games: Mockingjay - Part 2,136.0,6.5,2015,147199935.232028,598481289.508232,3.065771418750009,16,high
5.4621379999999995,Tomorrowland,130.0,6.2,2015,174799923.08803302,192312729.942398,0.10018772631578998,12,high
5.337064,Southpaw,123.0,7.3,2015,27599987.856005296,84373003.7158783,2.0569942333333358,8,very_high
4.907832,San Andreas,114.0,6.1,2015,101199955.47201899,432851374.985395,3.277189381818207,11,high
4.71040199999999,Fifty Shades of Grey,125.0,5.3,2015,36799983.808007106,524079119.045187,13.241286674999989,20,low
4.648046,The Big Short,130.0,7.3,2015,25759988.665604897,122678731.54135801,3.7623752142857265,13,very_high
4.566713,Mission: Impossible - Rogue Nation,131.0,7.1,2015,137999939.280026,627743451.672881,3.5488675933333558,7,very_high
4.5645489999999995,Ted 2,115.0,6.3,2015,62559972.4736121,198594430.13845,2.1744647941176356,5,high
4.503789,Kingsman: The Secret Service,130.0,7.6,2015,74519967.21121441,371497801.660967,3.9852115555555527,8,very_high
4.062293,Spotlight,128.0,7.8,2015,18399991.9040035,81278719.39736341,3.4173236500000117,9,very_high
3.968891,Maze Runner: The Scorch Trials,132.0,6.4,2015,56119975.30721079,286356245.923251,4.102572557377041,11,high
3.899557,Chappie,120.0,6.6,2015,45079980.164808705,93903685.2423785,1.0830462857142868,7,high
3.877764,Pitch Perfect 2,115.0,6.8,2015,26679988.260805104,264505582.09754303,8.914006689655164,15,very_high
3.6482099999999997,Bridge of Spies,141.0,7.1,2015,36799983.808007106,149601569.335309,3.065261824999989,15,very_high
3.6445410000000003,Goosebumps,103.0,6.2,2015,53359976.5216103,138157089.01088,1.5891519827586067,10,high
3.557846,Room,117.0,8.0,2015,5519997.57120106,32569603.029374603,4.900292999999998,4,very_high
3.3391349999999997,The Good Dinosaur,93.0,6.6,2015,160999929.16003102,305371920.876354,0.8967208399999965,17,high
3.23737,Run All Night,114.0,6.3,2015,45999979.7600089,65836683.5118592,0.431232879999999,13,high
3.227329,Brooklyn,111.0,7.3,2015,10119995.5472019,57110024.5915891,4.643285545454571,8,very_high
3.2027189999999996,Straight Outta Compton,147.0,7.7,2015,25759988.665604897,185504110.098191,6.201249678571433,22,very_high
3.080505,The Last Witch Hunter,106.0,5.6,2015,82799963.56801601,129164861.16746101,0.5599627777777773,21,mediocre
3.0795220000000003,Steve Jobs,122.0,6.9,2015,27599987.856005296,31686509.2179359,0.14806243333333374,10,very_high
3.0534209999999997,The Man from U.N.C.L.E.,116.0,7.0,2015,68999969.64001329,99493456.50287908,0.44193478666666725,23,very_high
3.025852,The Age of Adaline,112.0,7.3,2015,22999989.8800044,39219376.6634742,0.7051910400000012,18,very_high
3.023253,Hardcore Henry,97.0,5.9,2015,9199995.95200178,13187080.9976843,0.4333789999999935,14,mediocre
2.976436,Home,94.0,6.9,2015,124199945.352024,339361177.121082,1.73237782962963,4,very_high
2.968254,Paper Towns,109.0,6.2,2015,11039995.1424021,78671281.38463621,6.126025000000026,11,high
2.8851259999999996,The Lobster,118.0,6.6,2015,3679998.38080071,8339346.45068756,1.266127750000001,11,high
2.883233,Carol,118.0,7.1,2015,10855995.2233621,37050347.8978469,2.412892796610168,5,very_high
2.8148020000000002,The Intern,121.0,7.1,2015,32199985.8320062,178999419.480255,4.55899062857142,10,very_high
2.7980169999999998,Everest,121.0,6.7,2015,50599977.7360098,187153294.93255,2.698683345454541,7,very_high
2.793297,Joy,124.0,6.4,2015,55199975.71201059,93043293.3409509,0.6855676500000024,3,high
2.6144990000000004,Point Break,114.0,5.5,2015,96599957.49601871,123021159.990689,0.27351153333332695,11,mediocre
2.584264,Burnt,100.0,6.3,2015,18399991.9040035,33678188.7415969,0.8303371500000032,5,high
2.578919,Self/less,116.0,6.2,2015,23919989.475204602,28081355.564203497,0.1739702307692299,9,high
2.575711,Mortdecai,106.0,5.3,2015,55199975.71201059,27985062.8865723,-0.49302399999999963,9,low
2.557859,The Danish Girl,120.0,7.3,2015,13799993.9280026,59056175.175282896,3.2794348666666875,15,very_high
2.5507470000000003,Blackhat,133.0,5.0,2015,64399971.6640124,16332697.613613,-0.7463865714285719,8,low
2.487849,Sicario,121.0,7.1,2015,27599987.856005296,77303716.7063646,1.8008605333333365,7,very_high
2.4870419999999998,Fantastic Four,100.0,4.4,2015,110399952.34402,154539320.322699,0.3998132883349012,14,low
2.46449,The Witch,92.0,5.8,2015,3219998.58320062,37190013.0363942,10.549698571428564,9,mediocre
2.404473,Spy,120.0,6.9,2015,59799973.6880115,216812826.082356,2.6256341384615345,3,very_high
2.395366,Focus,105.0,6.7,2015,46091979.7195289,141645863.63582,2.0731130339321373,5,very_high
2.354654,Hitman: Agent 47,96.0,5.5,2015,32199985.8320062,75759810.18568349,1.3527901714285728,6,mediocre
2.345821,In the Heart of the Sea,122.0,6.4,2015,91999959.5200178,86315059.3813738,-0.06179242000000078,23,high
